route,start_stop_code_lbsl,end_stop_code_lbsl
143,16498,BP228
143,BP228,2764
143,2764,2763
143,2763,2761
143,2761,BP2835
143,BP2835,BP5511
143,BP5511,BP5505
143,BP5505,H1110
143,H1110,HC35
143,HC35,16506
143,16506,33333
143,33333,16508
143,16508,16510
143,16510,16511
143,16511,BP4125
143,BP4125,10242
143,10242,27477
143,27477,9877
143,9877,9873
143,9873,34628
143,34628,70101
143,70101,34624
143,34624,34626
143,34626,BP4306
143,BP4306,9446
143,9446,14618
143,14618,14616
143,14616,14612
143,14612,34429
143,34429,26434
467,OC58,OC59
467,OC59,BP3941
467,BP3941,BP3942
467,BP3942,BP3944
467,BP3944,BP3947
467,BP3947,BP3949
467,BP3949,BP3950
467,BP3950,BP2836
467,BP2836,BP3415
467,BP3415,BP3416
467,BP3416,BP3417
467,BP3417,BP3418
467,BP3418,BP3419
467,BP3419,BP3420
467,BP3420,BP3421
467,BP3421,BP3422
467,BP3422,BP3423
467,BP3423,BP2819
467,BP2819,25577
467,25577,33592
467,33592,33591
467,33591,BP2730
467,BP2730,33389
467,33389,35376
467,35376,4523
467,4523,25571
467,25571,15735
467,15735,15733
467,15733,4517
467,4517,15731
467,15731,OC467
423,BP4837,BP1747
423,BP1747,BP1748
423,BP1748,BP929
423,BP929,20266
423,20266,6211
423,6211,1773
423,1773,17667
423,17667,BP5333
423,BP5333,BP5339
423,BP5339,BP5332
423,BP5332,BP5334
423,BP5334,BP5335
423,BP5335,BP5336
423,BP5336,BP3167
423,BP3167,BP3169
423,BP3169,4451
423,4451,25985
423,25985,17130
423,17130,R0237
423,R0237,BP4822
423,BP4822,BP757
423,BP757,29039
423,29039,3419
423,3419,17145
423,17145,34149
423,34149,3421
423,3421,17147
423,17147,3327
423,3327,18210
423,18210,3423
423,3423,BP5134
469,31531,6255
469,6255,35424
469,35424,6252
469,6252,6248
469,6248,R0468
469,R0468,6244
469,6244,6241
469,6241,6240
469,6240,6238
469,6238,6235
469,6235,6234
469,6234,6232
469,6232,6230
469,6230,3965
469,3965,6603
469,6603,34318
469,34318,3963
469,3963,R0462
469,R0462,33045
469,33045,34583
469,34583,BP373
469,BP373,BP332
469,BP332,BP291
469,BP291,BP318
469,BP318,BP324
469,BP324,BP327
469,BP327,BP635
469,BP635,29368
469,29368,29366
469,29366,29364
469,29364,BP288
469,BP288,BP289
469,BP289,BP317
469,BP317,26615
469,26615,26617
469,26617,26619
469,26619,26621
469,26621,36604
469,36604,34579
469,34579,8931
469,8931,BP4396
469,BP4396,35483
469,35483,26642
469,26642,44027
469,44027,35502
469,35502,35503
469,35503,BP1300
197,37168,33441
197,33441,13781
197,13781,1726
197,1726,1493
197,1493,9472
197,9472,13734
197,13734,13732
197,13732,R0080
197,R0080,13726
197,13726,BP601
197,BP601,26035
197,26035,13388
197,13388,13390
197,13390,2017
197,2017,26066
197,26066,26032
